"dpt_cdc","prov_cdc","n","pob","y1","ylog","x1","sd","id","y__cascade","y_se__cascade","y_ranef__cascade"
"ANCASH","AIJA",0,6763,0,-16.1180956509583,0,3162.27766016838,"367",-16.1180956509583,3162.27766016838,"367"
"ANCASH","AIJA",0,6763,0,-16.1180956509583,1,3162.27766016838,"368",-16.1180956509583,3162.27766016838,"368"
"ANCASH","AIJA",0,6763,0,-16.1180956509583,2,3162.27766016838,"369",-16.1180956509583,3162.27766016838,"369"
"ANCASH","AIJA",0,6763,0,-16.1180956509583,3,3162.27766016838,"370",-16.1180956509583,3162.27766016838,"370"
"ANCASH","AIJA",0,6763,0,-16.1180956509583,4,3162.27766016838,"371",-16.1180956509583,3162.27766016838,"371"
"ANCASH","AIJA",1,6763,0.0001478633742422,-8.81854578616273,30,82.2096665501193,"372",-8.81854578616273,82.2096665501193,"372"
"ANCASH","AIJA",1,6763,0.0001478633742422,-8.81854578616273,35,82.2096665501193,"373",-8.81854578616273,82.2096665501193,"373"
"ANCASH","AIJA",1,6763,0.0001478633742422,-8.81854578616273,53,82.2096665501193,"374",-8.81854578616273,82.2096665501193,"374"
"ANCASH","AIJA",2,6763,0.0002957267484844,-8.12573658417482,55,58.1408370450868,"375",-8.12573658417482,58.1408370450868,"375"
"ANCASH","AIJA",3,6763,0.000443590122726601,-7.72038416097977,58,47.4744694124682,"376",-7.72038416097977,47.4744694124682,"376"
"ANCASH","AIJA",2,6763,0.0002957267484844,-8.12573658417482,60,58.1408370450868,"377",-8.12573658417482,58.1408370450868,"377"
"ANCASH","AIJA",2,6763,0.0002957267484844,-8.12573658417482,63,58.1408370450868,"378",-8.12573658417482,58.1408370450868,"378"
"ANCASH","AIJA",1,6763,0.0001478633742422,-8.81854578616273,64,82.2096665501193,"379",-8.81854578616273,82.2096665501193,"379"
"ANCASH","AIJA",2,6763,0.0002957267484844,-8.12573658417482,68,58.1408370450868,"380",-8.12573658417482,58.1408370450868,"380"
"ANCASH","AIJA",1,6763,0.0001478633742422,-8.81854578616273,70,82.2096665501193,"381",-8.81854578616273,82.2096665501193,"381"
"ANCASH","AIJA",1,6763,0.0001478633742422,-8.81854578616273,72,82.2096665501193,"382",-8.81854578616273,82.2096665501193,"382"
"ANCASH","AIJA",1,6763,0.0001478633742422,-8.81854578616273,83,82.2096665501193,"383",-8.81854578616273,82.2096665501193,"383"
