"prov_cdc","log_mort_cum","log_mort1","day_first_peak","log_mort2","day_second_peak","n_peak","dist_peaks","rt","day_rt","HDI","HDI_low","education_years","perc_essalud","mob","mig_in_perc","mig_out_perc","dens_pop","perc_fem","perc_65_plus","med_ratio","enf_ratio","altitud","ide","ocup_perc","bed_ratio","med2_ratio","log_essalud","log_pop_dens","log_med_ratio","deaths","pop","mort_first_peak","mort_second_peak","log_mig_in","mort_cum"
"AREQUIPA",-5.05671700401421,-8.1710558380291,164,-8.32066084790065,479,3,315,1.54932724516517,109,0.66933497919903,"High HDI",11.0774207208015,0.369584549824871,-39.3333333333333,0.000265097323210373,0.0152161696008077,0.000110585329172657,0.481387789237819,0.085615972259206,0.00104771321666767,0.000969511600675392,2429,0.818828118150026,0.465767563339785,0.00198142166785262,0.00296129733811735,-0.995375742510239,-9.10972312529967,-6.86114537874966,6757.06463772928,1061359.14132762,0.00028271935295751,0.00024343493759001,-8.23541354200291,0.0063664261931895
"CAMANA",-5.06790993045046,-9.30275081191844,182,-7.83054683986919,358,3,176,1.47106215110572,338,0.624133348573477,"High HDI",9.28470374601418,0.229914098029308,-33,0.0234079489890865,0,1.53056477914122e-05,0.503129072218022,0.0643350118245146,0.00107895302280126,0.00160208176112914,20,0.760651977930744,0.46699133162474,0.00470815864495095,0.00187999390336583,-1.47004952665161,-11.0872886609865,-6.83176413137288,385.102272916194,61170.4111349036,9.11730861976717e-05,0.0003974081022648,-3.75467961391528,0.00629556456743277
"CARAVELI",-5.2435860021029,-9.30063547110634,185,-8.67845678002514,445,2,260,1.24252583192595,173,0.616486844457873,"High HDI",8.97038539381292,0.190731872490688,-22,0.0284010970531777,0,3.39246874226523e-06,0.542870698809336,0.0743092112695149,0.000679874906899356,0.000906499875865808,1811,0.723754268945559,0.485124525266101,0.000226624968966452,0.000317274956553033,-1.65688664614769,-12.5939526590557,-7.29360173715904,233.040700068854,44125.7644539615,9.13661524763682e-05,0.00017021354195704,-3.56132750592803,0.00528128414210243
"CASTILLA",-5.31600432665515,-9.14457424877043,173,-8.26508594536327,468,3,295,1.23508134790673,173,0.566243808886177,"High HDI",8.34473829681924,0.272562371762467,-21,0.0434314365406393,0,5.09931733961981e-06,0.513649460370171,0.096669433999121,0.001813563180784,0.00257866014767724,625,0.78035267414317,0.474992118665791,0.0014168462349875,0.001813563180784,-1.2998878038678,-12.1864038821699,-6.3124617607062,173.354827046439,35289.6445396146,0.00010679769129387,0.00025734680540618,-3.1365717558321,0.00491234268035311
"CAYLLOMA",-5.45826154996717,-8.81395384857615,181,-8.43042884256178,476,3,295,1.45131656777783,338,0.588818268722751,"High HDI",8.37719011866829,0.170955734058614,-12.25,0.0218624504865572,0,7.25510590212363e-06,0.503773165007688,0.068513797847374,0.00112617659031894,0.00149830450711998,3683,0.704624896512953,0.491188513649469,0.000881355592423516,0.00128286202897201,-1.76635062114515,-11.8338050746122,-6.78892693179299,435.1094071649,102115.423982869,0.0001486443751821,0.00021812792779064,-3.8229847034058,0.00426095677023184
"CONDESUYOS",-5.15340035848916,-9.37965314996839,112,-8.54735767964601,476,3,364,1.141700408738,465,0.581571123130452,"High HDI",8.10252689300621,0.26988460106713,NA,0.0552246009971935,0,2.2867526305531e-06,0.535486160397445,0.133884213728075,0.00121327776841122,0.00217112863820954,2916,0.668586249902372,0.505103944027393,0.000893994145145106,0.000957850869798328,-1.30976081480173,-12.9883778120649,-6.71442968231572,90.5107205669095,15660.0578158458,8.44244800891705e-05,0.00019405718396165,-2.89634675474156,0.00577971816140584
"ISLAY",-4.86590518876817,-8.45652563313655,176,-7.99619984622024,477,3,301,1.35330247813846,338,0.630938131124971,"High HDI",9.6457256750217,0.391167313679517,-31.3333333333333,0.0147567222019857,0.00331418440931557,1.3284349430065e-05,0.505070810243037,0.102430366909341,0.000568741261319706,0.00058835302895142,73,0.775667897255883,0.472092216614837,0.000902141311058844,0.00135321196658827,-0.938619898301268,-11.2289239502139,-7.47208495252976,392.86875279906,50989.7944325482,0.00021250912419432,0.00033673986278332,-4.21605655750788,0.00770485068965646
"LA UNION",-5.09225303717097,-8.78209452602873,165,-9.0394367217156,372,2,207,1.18943704796497,173,0.357948486236479,"Low HDI",6.01140119630745,0.107429640601855,NA,0.0618421245981826,0,2.54421088634341e-06,0.498262995367988,0.145265054040144,0.00216898582495774,0.00289198109994365,2696,0.765962727054128,0.447111081748963,0.00136565774164006,0.00208865301662597,-2.23091915172625,-12.8816900203468,-6.13349558244795,76.4838349974663,12448.2141327623,0.00015345633007653,0.00011863764364543,-2.7831705189189,0.00614416125733003
"CANGALLO",-5.59649610131732,-9.81482476871388,225,-9.03984294685004,406,2,181,1.20940833088189,187,0.329311567938455,"Low HDI",5.03522721112767,0.0748940643169201,NA,0.052229032472202,0,1.66211422812166e-05,0.483251552883115,0.0761267266074822,0.0014475393552991,0.00276640854568273,2574,0.690274899591426,0.328664795131172,0.00205872263864761,0.00157620952021458,-2.59168063970447,-11.0048350415836,-6.53789016042448,115.359870259392,31087.2376873662,5.46356056994071e-05,0.00011858945984009,-2.95211676107461,0.00371084338272596
"HUAMANGA",-5.61743981026338,-8.63046923159543,180,-9.17711465758021,397,2,217,1.3581386741601,172,0.489395999823841,"High HDI",8.75770512103939,0.183193122461852,-28.5,0.00246171420887684,0.0184517659686923,0.00010200016773087,0.490849379472465,0.0405572648390777,0.000924567212168152,0.00196149502303729,2797,0.769309247736132,0.402455109848647,0.00122954598007084,0.00111718538136985,-1.69721436859389,-9.19053610026106,-6.98618480867839,1131.95949752442,311497.094218415,0.00017858082973457,0.00010337838528071,-6.0068973388364,0.00363393276706047
"HUANCA SANCOS",-5.07936020914428,-8.3651820891497,168,-8.84013510335541,456,2,288,1.20057438275698,173,0.382788203623698,"Low HDI",5.91424273496156,0.130455464383399,NA,0.0537960191658652,0,3.17765466027554e-06,0.488134964775677,0.0725806451612903,0.00121929162882836,0.00221689387059701,3433,0.717187619083786,0.33084437288577,0.00121929162882836,0.00133013632235821,-2.03672337955767,-12.6593671614952,-6.70948522097698,56.1496408346764,9021.63169164882,0.00023283463226422,0.00014480318196533,-2.92255580775156,0.00622388973013088
"HUANTA",-5.87295733108409,-9.46306811686565,193,-9.0091283257598,428,2,235,1.35894202003568,173,0.389530096039708,"Low HDI",6.008926169374,0.0868598126662643,-10.5,0.00875987335893152,0.00284650225146104,2.76132088844864e-05,0.493763847084058,0.0441164788023762,0.000457680656121196,0.00142908449768455,2685,0.702605811685876,0.374309733461733,0.000653829508744566,0.000336255175925777,-2.44345980860972,-10.4972163169541,-7.68933887442437,301.328743979304,107061.549018197,7.76679307952343e-05,0.0001222884052269,-4.73757383088131,0.00281453749495151
"LA MAR",-6.03633017602459,-9.40133446911241,181,-9.33232425410988,412,2,231,1.3041995354945,173,0.332574685607884,"Low HDI",4.98146905289913,0.0555673502894428,-41,0.031040330217789,0,2.0007407673303e-05,0.507027828019787,0.0433219290025932,0.000661737723173322,0.00163071081781997,2696,0.674297991113708,0.374240767976052,0.000709004703399988,0.000389952586869993,-2.89015947521976,-10.8194079693202,-7.32064126909063,202.282004117113,84625.6727385217,8.26137464713716e-05,8.85162635320667e-05,-3.47246794526401,0.00239031487220348
"LUCANAS",-5.84289807178786,-9.79946399609551,170,-9.34096407351134,381,2,211,1.20497749007222,173,0.425449006035701,"High HDI",6.926992757643,0.15646430798005,-25,0.0441847868014873,0,4.22358320600501e-06,0.521186500387515,0.0848023673641936,0.000883318334645456,0.0019302141386697,3234,0.702518340265248,0.416193390626713,0.000817887346893941,0.000474374661198486,-1.85492735903772,-12.3748266892496,-7.03182490744292,177.311998144323,61133.113490364,5.54813296730335e-05,8.77547932207926e-05,-3.11937473915706,0.00290042479469447
"PARINACOCHAS",-5.43482756524018,-9.61919376174683,90,-8.71301153092231,420,2,330,1.30500894278529,80,0.41744346365726,"Low HDI",7.39997678640656,0.1708304710944,NA,0.0269718998570294,0,5.52628778137026e-06,0.517339790711753,0.0755282654443772,0.000800884970636965,0.00169417974557819,3166,0.737773886915015,0.391047827146021,0.000954901311144073,0.000800884970636965,-1.76708361134741,-12.105994255119,-7.12979322840322,141.607932643556,32464.0877944326,6.64411634724101e-05,0.0001644323150782,-3.61295970096597,0.00436198711450753
"PAUCAR DEL SARA SARA",-4.88504163548899,-9.15823589325546,102,-8.44727274830119,458,2,356,1.21392336217179,174,0.435518521210977,"High HDI",7.76519954185495,0.18243313560204,NA,0.034468658178535,0,4.86303391843301e-06,0.521287733379864,0.0998080614203455,0.00128331118383184,0.00207304114311297,2536,0.760653287369121,0.421073605649667,NA,NA,-1.70137155335603,-12.2338480517709,-6.65831167885131,76.5710754867119,10130.0449678801,0.00010534858036128,0.00021448457184765,-3.3677048264366,0.0075588090407792
"SUCRE",-4.96724395758146,-8.92313367671746,174,-8.34692593684645,415,2,241,1.2127397135728,173,0.387487977919471,"Low HDI",6.56388742162989,0.164637374272102,NA,0.0642646650480579,0,5.6212615929152e-06,0.497961793621613,0.0908000959155943,0.0006976606705695,0.0020929820117085,3516,0.727263839329879,0.357324402345693,0.00318930592260343,0.00149498715122036,-1.80400995532227,-12.088954436526,-7.26777771872475,69.8565539484757,10033.5310492505,0.00013326996477077,0.00023712433435849,-2.7447453314766,0.00696231003876686
