"prov_cdc","day","date","infection_day","rt","I_peak","mob"
"HUAMANGA",172,2020-08-14,165,1.36210379054984,762.07183611669,-28.5
"HUANCA SANCOS",540,2021-08-17,533,1.26550303040182,16.3662258051325,NA
"HUANCABAMBA",173,2020-08-15,166,1.22132228151619,105.700583515294,10
"HUANCANE",173,2020-08-15,166,1.30670384516976,60.0994241447235,NA
"HUANCAVELICA",172,2020-08-14,165,1.44714557112759,277.934241533446,-46.6666666666667
"HUANCAYO",338,2021-01-27,331,1.41288845083514,448.342748817781,-22
"HUANTA",173,2020-08-15,166,1.35558388396414,99.3252591063336,-10.5
"HUANUCO",77,2020-05-11,70,1.53214351710485,31.8241479159325,-52.6666666666667
"HUARAL",76,2020-05-10,69,1.73353658599393,94.4965224834117,-85.6
"HUARAZ",77,2020-05-11,70,1.577876649388,27.8492296426711,-52.6666666666667
"HUARI",173,2020-08-15,166,1.2011690382288,50.2705950365225,-22
"HUARMEY",78,2020-05-12,71,1.39520953689731,19.5246633222316,-77.5
"HUAROCHIRI",76,2020-05-10,69,1.48124084617966,35.0446538158614,-77
"HUAURA",77,2020-05-11,70,1.55603477683827,57.9253540563271,-51.5
"HUAYLAS",540,2021-08-17,533,1.32879778707134,42.8985417505383,22.5
"HUAYTARA",173,2020-08-15,166,1.19929141040659,59.95395005976,NA
"ICA",58,2020-04-22,51,1.72866353138886,57.0784439157443,-55.1666666666667
"ILO",109,2020-06-12,102,1.53938356516296,36.5211450072354,-42.1666666666667
"ISLAY",173,2020-08-15,166,1.28096771399428,201.576460327701,-64.8
"JAEN",109,2020-06-12,102,1.51690729978586,87.5310961768839,-37
"JAUJA",173,2020-08-15,166,1.32832924913681,148.262705818049,-28.3333333333333
"JORGE BASADRE",173,2020-08-15,166,1.20971879642766,46.2311618346247,NA
"JULCAN",187,2020-08-29,180,1.1736400501832,29.6466536952158,NA
"JUNIN",77,2020-05-11,70,1.42387611232651,21.1198995137741,NA
"LA CONVENCION",173,2020-08-15,166,1.35203499678684,154.369659265524,-36.25
"LA MAR",173,2020-08-15,166,1.29241054696809,98.0210084808708,-41
"LA UNION",173,2020-08-15,166,1.2419624367473,27.5592570732612,NA
"LAMAS",109,2020-06-12,102,1.60540312684295,31.41559143419,-32
"LAMBAYEQUE",59,2020-04-23,52,2.39730576199782,82.8064373778384,-66.2
"LAMPA",173,2020-08-15,166,1.29804244059385,55.9620160947124,NA
"LAURICOCHA",173,2020-08-15,166,1.16298088455014,33.9854758276391,NA
"LEONCIO PRADO",108,2020-06-11,101,1.6941547646887,82.7352627796084,-58.75
"LIMA",58,2020-04-22,51,2.35501064201193,2566.18347057779,NA
"LORETO",76,2020-05-10,69,1.59461169874052,44.5552931492104,NA
"LUCANAS",338,2021-01-27,331,1.24236442365821,35.3618417130866,-27
"LUYA",173,2020-08-15,166,1.2254765232949,27.7076408888141,4
"MANU",113,2020-06-16,106,1.34361454214569,17.301718828629,NA
"MARAÑON",540,2021-08-17,533,1.21980263453291,17.7573120056952,NA
"MARISCAL CACERES",97,2020-05-31,90,1.63874594997685,71.2242040103905,-33.5
"MARISCAL LUZURIAGA",540,2021-08-17,533,1.24853485509992,39.4698230418269,NA
"MARISCAL NIETO",171,2020-08-13,164,1.51052296040148,828.215958299517,-43.5
"MARISCAL RAMON CASTILLA",76,2020-05-10,69,1.52716852301815,50.758399310623,NA
"MAYNAS",57,2020-04-21,50,2.53486880489687,343.495990183465,-55.8333333333333
"MELGAR",173,2020-08-15,166,1.52657645438383,57.1178138832735,-26
"MOHO",173,2020-08-15,166,1.38018284924137,25.7686904526518,NA
"MORROPON",62,2020-04-26,55,2.05985663945424,49.3759044669939,-63.3333333333333
"MOYOBAMBA",173,2020-08-15,166,1.23768714710314,200.789422976486,-39
"NAZCA",173,2020-08-15,166,1.30402647756186,253.191554896254,-42.75
"OCROS",109,2020-06-12,102,1.29857288602416,16.8138184080003,NA
"OTUZCO",77,2020-05-11,70,1.38542778073266,19.3082292104236,NA
"OXAPAMPA",173,2020-08-15,166,1.25496049642068,56.5238023939349,-15
"OYON",339,2021-01-28,332,1.2623838640856,18.4284666806437,-62
"PACASMAYO",79,2020-05-13,72,1.52236601434616,25.2551993745971,-64.5
"PACHITEA",173,2020-08-15,166,1.22898033688494,30.9991559568535,NA
"PADRE ABAD",78,2020-05-12,71,1.53210090338685,26.1091980420988,-23
"PAITA",64,2020-04-28,57,1.87051232455633,41.3872725215307,-52.6666666666667
"PALLASCA",401,2021-03-31,394,1.24611159457125,35.4094790191827,NA
"PALPA",173,2020-08-15,166,1.31321878625214,60.9165695645579,-28
"PARINACOCHAS",80,2020-05-14,73,1.3288237978038,17.5777241464289,NA
"PARURO",64,2020-04-28,57,1.46691483482041,20.877859058042,NA
"PASCO",173,2020-08-15,166,1.30287968897247,268.038691184644,-20.3333333333333
"PATAZ",173,2020-08-15,166,1.23611972980181,64.8019337272384,-23
"PAUCAR DEL SARA SARA",540,2021-08-17,533,1.23415182052349,26.3600380016513,NA
"PAUCARTAMBO",173,2020-08-15,166,1.33768261258675,26.3744779632161,NA
"PICOTA",108,2020-06-11,101,1.46006286394324,78.9998379575661,NA
"PISCO",77,2020-05-11,70,1.54070506013435,48.4980595207712,-49.1666666666667
"PIURA",57,2020-04-21,50,2.88027314863764,197.828071901237,-61.3333333333333
"POMABAMBA",540,2021-08-17,533,1.20335418272953,36.728658040111,NA
"PUERTO INCA",79,2020-05-13,72,1.37857789562057,19.892074264847,NA
"PUNO",171,2020-08-13,164,1.65178252356155,606.450865437462,-46.3333333333333
"PURUS",540,2021-08-17,533,1.30803413583147,18.2775417935824,NA
"PUTUMAYO",173,2020-08-15,166,1.15607919793756,39.1158765040596,NA
"QUISPICANCHI",173,2020-08-15,166,1.37968077358017,93.7598459579135,-25
"RECUAY",401,2021-03-31,394,1.23151912998637,38.0716549587415,NA
"REQUENA",62,2020-04-26,55,1.94174926907485,47.1853830380885,NA
"RIOJA",173,2020-08-15,166,1.27827887911291,176.039973080684,-40.75
"RODRIGUEZ DE MENDOZA",540,2021-08-17,533,1.27662917286473,19.9887933522933,NA
"SAN ANTONIO DE PUTINA",173,2020-08-15,166,1.32669000161013,34.7558711953076,NA
"SAN IGNACIO",173,2020-08-15,166,1.35014263635335,120.63260414357,11
"SAN MARCOS",401,2021-03-31,394,1.25430800002752,50.2948107851649,NA
"SAN MARTIN",108,2020-06-11,101,1.89966624144267,365.428024417692,-47.6666666666667
"SAN MIGUEL",540,2021-08-17,533,1.2190496816288,33.494929209874,NA
"SAN PABLO",173,2020-08-15,166,1.29955124035746,32.732646373549,NA
"SAN ROMAN",172,2020-08-14,165,1.4929474881183,817.355779078018,-28.1666666666667
"SANCHEZ CARRION",173,2020-08-15,166,1.35081946984586,73.1555144272953,-22.5
"SANDIA",173,2020-08-15,166,1.32103172627011,42.4056536117486,NA
"SANTA",58,2020-04-22,51,2.38264260749285,112.827461697529,-55.3333333333333
