"stage1","dpt_cdc","prov_cdc"
"stage1","AMAZONAS","BAGUA"
"stage1","AMAZONAS","BONGARA"
"stage1","AMAZONAS","CHACHAPOYAS"
"stage1","AMAZONAS","CONDORCANQUI"
"stage1","AMAZONAS","LUYA"
"stage1","AMAZONAS","RODRIGUEZ DE MENDOZA"
"stage1","AMAZONAS","UTCUBAMBA"
"stage1","ANCASH","AIJA"
"stage1","ANCASH","ANTONIO RAIMONDI"
"stage1","ANCASH","ASUNCION"
"stage1","ANCASH","BOLOGNESI"
"stage1","ANCASH","CARHUAZ"
"stage1","ANCASH","CARLOS FERMIN FITZCARRALD"
"stage1","ANCASH","CASMA"
"stage1","ANCASH","CORONGO"
"stage1","ANCASH","HUARAZ"
"stage1","ANCASH","HUARI"
"stage1","ANCASH","HUARMEY"
"stage1","ANCASH","HUAYLAS"
"stage1","ANCASH","MARISCAL LUZURIAGA"
"stage1","ANCASH","OCROS"
"stage1","ANCASH","PALLASCA"
"stage1","ANCASH","POMABAMBA"
"stage1","ANCASH","RECUAY"
"stage1","ANCASH","SANTA"
"stage1","ANCASH","SIHUAS"
"stage1","ANCASH","YUNGAY"
"stage1","APURIMAC","ABANCAY"
"stage1","APURIMAC","ANDAHUAYLAS"
"stage1","APURIMAC","ANTABAMBA"
"stage1","APURIMAC","AYMARAES"
"stage1","APURIMAC","CHINCHEROS"
"stage1","APURIMAC","COTABAMBAS"
"stage1","APURIMAC","GRAU"
"stage1","AREQUIPA","AREQUIPA"
"stage1","AREQUIPA","CAMANA"
"stage1","AREQUIPA","CARAVELI"
"stage1","AREQUIPA","CASTILLA"
"stage1","AREQUIPA","CAYLLOMA"
"stage1","AREQUIPA","CONDESUYOS"
"stage1","AREQUIPA","ISLAY"
"stage1","AREQUIPA","LA UNION"
"stage1","AYACUCHO","CANGALLO"
"stage1","AYACUCHO","HUAMANGA"
"stage1","AYACUCHO","HUANCA SANCOS"
"stage1","AYACUCHO","HUANTA"
"stage1","AYACUCHO","LA MAR"
"stage1","AYACUCHO","LUCANAS"
"stage1","AYACUCHO","PARINACOCHAS"
"stage1","AYACUCHO","PAUCAR DEL SARA SARA"
"stage1","AYACUCHO","SUCRE"
"stage1","AYACUCHO","VICTOR FAJARDO"
"stage1","AYACUCHO","VILCAS HUAMAN"
"stage1","CAJAMARCA","CAJABAMBA"
"stage1","CAJAMARCA","CAJAMARCA"
"stage1","CAJAMARCA","CELENDIN"
"stage1","CAJAMARCA","CHOTA"
"stage1","CAJAMARCA","CONTUMAZA"
"stage1","CAJAMARCA","CUTERVO"
"stage1","CAJAMARCA","HUALGAYOC"
"stage1","CAJAMARCA","JAEN"
"stage1","CAJAMARCA","SAN IGNACIO"
"stage1","CAJAMARCA","SAN MARCOS"
"stage1","CAJAMARCA","SAN MIGUEL"
"stage1","CAJAMARCA","SAN PABLO"
"stage1","CAJAMARCA","SANTA CRUZ"
"stage1","CALLAO","CALLAO"
"stage1","CUSCO","ACOMAYO"
"stage1","CUSCO","ANTA"
"stage1","CUSCO","CALCA"
"stage1","CUSCO","CANAS"
"stage1","CUSCO","CANCHIS"
"stage1","CUSCO","CHUMBIVILCAS"
"stage1","CUSCO","CUSCO"
"stage1","CUSCO","ESPINAR"
"stage1","CUSCO","LA CONVENCION"
"stage1","CUSCO","PARURO"
"stage1","CUSCO","PAUCARTAMBO"
"stage1","CUSCO","QUISPICANCHI"
"stage1","CUSCO","URUBAMBA"
"stage1","HUANCAVELICA","ACOBAMBA"
"stage1","HUANCAVELICA","ANGARAES"
"stage1","HUANCAVELICA","CASTROVIRREYNA"
"stage1","HUANCAVELICA","CHURCAMPA"
"stage1","HUANCAVELICA","HUANCAVELICA"
"stage1","HUANCAVELICA","HUAYTARA"
"stage1","HUANCAVELICA","TAYACAJA"
"stage1","HUANUCO","AMBO"
"stage1","HUANUCO","DOS DE MAYO"
"stage1","HUANUCO","HUACAYBAMBA"
"stage1","HUANUCO","HUAMALIES"
"stage1","HUANUCO","HUANUCO"
"stage1","HUANUCO","LAURICOCHA"
"stage1","HUANUCO","LEONCIO PRADO"
"stage1","HUANUCO","MARAÑON"
"stage1","HUANUCO","PACHITEA"
"stage1","HUANUCO","PUERTO INCA"
"stage1","HUANUCO","YAROWILCA"
"stage1","ICA","CHINCHA"
"stage1","ICA","ICA"
"stage1","ICA","NAZCA"
"stage1","ICA","PALPA"
"stage1","ICA","PISCO"
"stage1","JUNIN","CHANCHAMAYO"
"stage1","JUNIN","CHUPACA"
"stage1","JUNIN","CONCEPCION"
"stage1","JUNIN","HUANCAYO"
"stage1","JUNIN","JAUJA"
"stage1","JUNIN","JUNIN"
"stage1","JUNIN","SATIPO"
"stage1","JUNIN","TARMA"
"stage1","JUNIN","YAULI"
"stage1","LA LIBERTAD","ASCOPE"
"stage1","LA LIBERTAD","BOLIVAR"
"stage1","LA LIBERTAD","CHEPEN"
"stage1","LA LIBERTAD","GRAN CHIMU"
"stage1","LA LIBERTAD","JULCAN"
"stage1","LA LIBERTAD","OTUZCO"
"stage1","LA LIBERTAD","PACASMAYO"
"stage1","LA LIBERTAD","PATAZ"
"stage1","LA LIBERTAD","SANCHEZ CARRION"
"stage1","LA LIBERTAD","SANTIAGO DE CHUCO"
"stage1","LA LIBERTAD","TRUJILLO"
"stage1","LA LIBERTAD","VIRU"
"stage1","LAMBAYEQUE","CHICLAYO"
"stage1","LAMBAYEQUE","FERREÑAFE"
"stage1","LAMBAYEQUE","LAMBAYEQUE"
"stage1","LIMA","BARRANCA"
"stage1","LIMA","CAJATAMBO"
"stage1","LIMA","CAÑETE"
"stage1","LIMA","CANTA"
"stage1","LIMA","HUARAL"
"stage1","LIMA","HUAROCHIRI"
"stage1","LIMA","HUAURA"
"stage1","LIMA","LIMA"
"stage1","LIMA","OYON"
"stage1","LIMA","YAUYOS"
