"dpt_cdc","prov_cdc","n","pob","y1","ylog","x1","sd","id","y__cascade","y_se__cascade","y_ranef__cascade"
"PUNO","AZANGARO",1,116527,8.58170209479348e-06,-11.6542929546457,8,339.38884224642,"304",-11.6542929546457,339.38884224642,"304"
"PUNO","SAN ROMAN",2,323437,6.1835844383914e-06,-11.9775699698672,8,398.929609859163,"305",-11.9775699698672,398.929609859163,"305"
"PUNO","SANDIA",1,57327,1.74437873951192e-05,-10.9508106653034,8,238.747219364382,"306",-10.9508106653034,238.747219364382,"306"
"PUNO","YUNGUYO",1,38429,2.60220146243722e-05,-10.5527321269602,8,195.657574701881,"307",-10.5527321269602,195.657574701881,"307"
"SAN MARTIN","SAN MARTIN",2,214538,9.32235781073749e-06,-11.5724252023156,8,325.77683806906,"308",-11.5724252023156,325.77683806906,"308"
"TACNA","TACNA",1,344291,2.90451972314118e-06,-12.7153928286604,8,576.915849430268,"309",-12.7153928286604,576.915849430268,"309"
"TUMBES","CONTRALMIRANTE VILLAR",1,23535,4.24899086466964e-05,-10.0638932189787,8,153.231003491121,"310",-10.0638932189787,153.231003491121,"310"
"TUMBES","TUMBES",3,173472,1.72938572219148e-05,-10.959393447298,8,239.773978569062,"311",-10.959393447298,239.773978569062,"311"
"TUMBES","ZARUMILLA",1,54514,1.83439116557215e-05,-10.9007762334967,8,232.848520783157,"312",-10.9007762334967,232.848520783157,"312"
"UCAYALI","CORONEL PORTILLO",162,449826,0.00036013925384482,-7.92874215324553,8,52.6871228041979,"313",-7.92874215324553,52.6871228041979,"313"
"AMAZONAS","BAGUA",2,84445,2.36840547101664e-05,-10.6464951719782,9,205.048715191696,"314",-10.6464951719782,205.048715191696,"314"
"AMAZONAS","LUYA",1,48552,2.05964738836711e-05,-10.7855472159871,9,219.812213751414,"315",-10.7855472159871,219.812213751414,"315"
"AMAZONAS","UTCUBAMBA",5,120694,4.14270800536895e-05,-10.0891648121195,9,155.179483653985,"316",-10.0891648121195,155.179483653985,"316"
"ANCASH","BOLOGNESI",1,25592,3.90747108471397e-05,-10.1474791508052,9,159.77068611187,"317",-10.1474791508052,159.77068611187,"317"
"ANCASH","CARHUAZ",1,49800,2.00803212851406e-05,-10.8108026221972,9,222.605536633301,"318",-10.8108026221972,222.605536633301,"318"
"ANCASH","CASMA",2,55308,3.61611340131626e-05,-10.2247640786323,9,166.065458561999,"319",-10.2247640786323,166.065458561999,"319"
"ANCASH","HUARAZ",6,181637,3.30329173020915e-05,-10.3149832893236,9,173.72813671335,"320",-10.3149832893236,173.72813671335,"320"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0709905351418,9,253.533323380844,"321",-11.0709905351418,253.533323380844,"321"
"ANCASH","MARISCAL LUZURIAGA",1,22408,4.46269189575152e-05,-10.0149350237881,9,149.525584488897,"322",-10.0149350237881,149.525584488897,"322"
"ANCASH","OCROS",1,7579,0.000131943528169943,-8.9323789308732,9,87.0244806136449,"323",-8.9323789308732,87.0244806136449,"323"
"ANCASH","PALLASCA",1,25713,3.88908334305604e-05,-10.152183979703,9,160.146975403041,"324",-10.152183979703,160.146975403041,"324"
"ANCASH","RECUAY",1,18492,5.40774388924941e-05,-9.82324599277355,9,135.859735429703,"325",-9.82324599277355,135.859735429703,"325"
"ANCASH","SANTA",88,468829,0.000187701699340271,-8.58012394256081,9,72.9709904652269,"326",-8.58012394256081,72.9709904652269,"326"
"ANCASH","YUNGAY",1,56783,1.7610904672173e-05,-10.9413300249122,9,237.618159266206,"327",-10.9413300249122,237.618159266206,"327"
"APURIMAC","ANDAHUAYLAS",1,151896,6.58345183546637e-06,-11.9158759620445,9,386.811688283594,"328",-11.9158759620445,386.811688283594,"328"
"AREQUIPA","AREQUIPA",18,1165606,1.54426109680286e-05,-11.0719252111772,9,253.65183683238,"329",-11.0719252111772,253.65183683238,"329"
"AREQUIPA","ISLAY",1,58026,1.72336538792955e-05,-10.9628606351857,9,240.190009796616,"330",-10.9628606351857,240.190009796616,"330"
"AYACUCHO","CANGALLO",1,33223,3.00996297745538e-05,-10.4076808927793,9,181.969746709676,"331",-10.4076808927793,181.969746709676,"331"
"AYACUCHO","HUANTA",1,99310,1.00694794079146e-05,-11.4961195382096,9,313.581648862069,"332",-11.4961195382096,313.581648862069,"332"
"AYACUCHO","LUCANAS",1,54415,1.83772856749058e-05,-10.8989683816021,9,232.638138062946,"333",-10.8989683816021,232.638138062946,"333"
"AYACUCHO","PARINACOCHAS",3,29774,0.000100759051521462,-9.20178654527165,9,99.5732219616702,"334",-9.20178654527165,99.5732219616702,"334"
"CAJAMARCA","CAJAMARCA",1,379923,2.63211229643902e-06,-12.8104355129866,9,604.993525604443,"335",-12.8104355129866,604.993525604443,"335"
"CAJAMARCA","CHOTA",1,153317,6.52243391143839e-06,-11.9250475952477,9,388.589609239374,"336",-11.9250475952477,388.589609239374,"336"
"CAJAMARCA","HUALGAYOC",1,85607,1.1681287745161e-05,-11.3489980694878,9,291.342349585906,"337",-11.3489980694878,291.342349585906,"337"
"CAJAMARCA","JAEN",2,202868,9.85862728473687e-06,-11.5170713186838,9,316.883962935007,"338",-11.5170713186838,316.883962935007,"338"
"CALLAO","CALLAO",217,1129854,0.000192060213089479,-8.55718109071628,9,72.1386921051975,"339",-8.55718109071628,72.1386921051975,"339"
"CUSCO","ACOMAYO",1,25126,3.97994109687177e-05,-10.1291489968662,9,158.313065282895,"340",-10.1291489968662,158.313065282895,"340"
"CUSCO","CUSCO",1,495343,2.01880313237494e-06,-13.064659188905,9,686.996772639683,"341",-13.064659188905,686.996772639683,"341"
