"dpt_cdc","prov_cdc","n","pob","y1","ylog","x1","sd","y_low","y_upp","id","y__cascade","y_se__cascade","y_ranef__cascade"
"AMAZONAS","BAGUA",0,84445,0,-16.7717433995265,0,1,-18.7317433995265,-14.8117433995265,"1",-16.7717433995265,1,"1"
"AMAZONAS","BAGUA",0,84445,0,-16.7717433995265,1,1,-18.7317433995265,-14.8117433995265,"2",-16.7717433995265,1,"2"
"AMAZONAS","BAGUA",0,84445,0,-16.7717433995265,2,1,-18.7317433995265,-14.8117433995265,"3",-16.7717433995265,1,"3"
"AMAZONAS","BAGUA",1,84445,1.18420273550832e-05,-11.3394729680647,11,0.997805092390298,-13.2951709491497,-9.38377498697969,"4",-11.3394729680647,0.997805092390298,"4"
"AMAZONAS","BAGUA",2,84445,2.36840547101664e-05,-10.6485147593427,12,0.706323207377243,-12.0329082458021,-9.26412127288335,"5",-10.6485147593427,0.706323207377243,"5"
"AMAZONAS","BAGUA",3,84445,3.55260820652496e-05,-10.2437803746099,13,0.576917814216383,-11.374539290474,-9.11302145874576,"6",-10.2437803746099,0.576917814216383,"6"
"AMAZONAS","BAGUA",1,84445,1.18420273550832e-05,-11.3394729680647,14,0.997805092390298,-13.2951709491497,-9.38377498697969,"7",-11.3394729680647,0.997805092390298,"7"
"AMAZONAS","BAGUA",3,84445,3.55260820652496e-05,-10.2437803746099,16,0.576917814216383,-11.374539290474,-9.11302145874576,"8",-10.2437803746099,0.576917814216383,"8"
"AMAZONAS","BAGUA",4,84445,4.73681094203328e-05,-9.95646386417707,17,0.499713854459686,-10.9359030189181,-8.97702470943609,"9",-9.95646386417707,0.499713854459686,"9"
"AMAZONAS","BAGUA",9,84445,0.000106578246195749,-9.14614321511725,18,0.3332342551702,-9.79928235525085,-8.49300407498366,"10",-9.14614321511725,0.3332342551702,"10"
"AMAZONAS","BAGUA",16,84445,0.000189472437681331,-8.57099250653272,19,0.249942003291561,-9.06087883298418,-8.08110618008126,"11",-8.57099250653272,0.249942003291561,"11"
"AMAZONAS","BAGUA",25,84445,0.00029605068387708,-8.12480420985374,20,0.199952822997498,-8.51671174292884,-7.73289667677865,"12",-8.12480420985374,0.199952822997498,"12"
"AMAZONAS","BAGUA",29,84445,0.000343418793297413,-7.97640843450479,21,0.185649386201593,-8.34028123145991,-7.61253563754966,"13",-7.97640843450479,0.185649386201593,"13"
"AMAZONAS","BAGUA",26,84445,0.000307892711232163,-8.08559025301942,22,0.19606937535399,-8.46988622871324,-7.70129427732559,"14",-8.08559025301942,0.19606937535399,"14"
"AMAZONAS","BAGUA",28,84445,0.000331576765942329,-8.01149434583451,23,0.188936079297933,-8.38180906125846,-7.64117963041056,"15",-8.01149434583451,0.188936079297933,"15"
"AMAZONAS","BAGUA",25,84445,0.00029605068387708,-8.12480420985374,24,0.199952822997498,-8.51671174292884,-7.73289667677865,"16",-8.12480420985374,0.199952822997498,"16"
"AMAZONAS","BAGUA",14,84445,0.000165788382971165,-8.70448469315267,25,0.26719716766688,-9.22819114177975,-8.18077824452558,"17",-8.70448469315267,0.26719716766688,"17"
"AMAZONAS","BAGUA",12,84445,0.000142104328260998,-8.85858310069812,26,0.288601801689666,-9.42424263200986,-8.29292356938637,"18",-8.85858310069812,0.288601801689666,"18"
"AMAZONAS","BAGUA",4,84445,4.73681094203328e-05,-9.95646386417707,27,0.499713854459686,-10.9359030189181,-8.97702470943609,"19",-9.95646386417707,0.499713854459686,"19"
"AMAZONAS","BAGUA",4,84445,4.73681094203328e-05,-9.95646386417707,28,0.499713854459686,-10.9359030189181,-8.97702470943609,"20",-9.95646386417707,0.499713854459686,"20"
"AMAZONAS","BAGUA",4,84445,4.73681094203328e-05,-9.95646386417707,29,0.499713854459686,-10.9359030189181,-8.97702470943609,"21",-9.95646386417707,0.499713854459686,"21"
"AMAZONAS","BAGUA",9,84445,0.000106578246195749,-9.14614321511725,30,0.3332342551702,-9.79928235525085,-8.49300407498366,"22",-9.14614321511725,0.3332342551702,"22"
"AMAZONAS","BAGUA",11,84445,0.000130262300905915,-8.945561214931,31,0.301431522640729,-9.53636699930683,-8.35475543055517,"23",-8.945561214931,0.301431522640729,"23"
"AMAZONAS","BAGUA",2,84445,2.36840547101664e-05,-10.6485147593427,32,0.706323207377243,-12.0329082458021,-9.26412127288335,"24",-10.6485147593427,0.706323207377243,"24"
"AMAZONAS","BAGUA",4,84445,4.73681094203328e-05,-9.95646386417707,33,0.499713854459686,-10.9359030189181,-8.97702470943609,"25",-9.95646386417707,0.499713854459686,"25"
"AMAZONAS","BAGUA",2,84445,2.36840547101664e-05,-10.6485147593427,34,0.706323207377243,-12.0329082458021,-9.26412127288335,"26",-10.6485147593427,0.706323207377243,"26"
"AMAZONAS","BAGUA",2,84445,2.36840547101664e-05,-10.6485147593427,35,0.706323207377243,-12.0329082458021,-9.26412127288335,"27",-10.6485147593427,0.706323207377243,"27"
"AMAZONAS","BAGUA",3,84445,3.55260820652496e-05,-10.2437803746099,36,0.576917814216383,-11.374539290474,-9.11302145874576,"28",-10.2437803746099,0.576917814216383,"28"
