"prov_cdc","perc_essalud"
"EL DORADO",0.053221593382673
"CHUCUITO",0.0480438641828273
"CARABAYA",0.0457434330760208
"MOHO",0.0429301878195717
"AYABACA",0.0429300762027715
"YAROWILCA",0.0412625018847062
"PARURO",0.0383306606172019
"PACHITEA",0.0354360340934519
"SANDIA",0.0346261479642111
"SAN ANTONIO DE PUTINA",0.0340874477335032
"CANAS",0.0328777244181751
"PAUCARTAMBO",0.0315970261622436
"JULCAN",0.0256208963745361
