"prov_cdc","pop","HDI","life_exp","perc_secondary","education_years","household_per_capita_income"
"CHACHAPOYAS",55806.7687366167,0.542665288299619,72.3167073794572,67.0434832778956,8.18781517752189,944.577067944468
"BAGUA",70180.4485091942,0.461036224246138,73.677103667733,49.3771580070641,7.04037006932985,732.507276695359
"BONGARA",31540.8565310493,0.4128954525726,70.8969326610387,45.5163582888463,6.09908938343355,646.050343194069
"CONDORCANQUI",51593.7473233405,0.2534515691766,66.2196274420332,33.9614742994672,5.52685689872207,230.671967079282
"LUYA",47607.1584582441,0.341050239505418,71.0418705191048,35.3737247495257,5.19381256497869,473.25829102871
"RODRIGUEZ DE MENDOZA",32535.7708779443,0.366407435251007,70.7282192500745,36.3318113535588,5.67668772061511,540.180939188607
"UTCUBAMBA",108203.830835118,0.470118925777447,71.4945249126438,58.8537912164716,5.99237116777026,827.896776508281
"HUARAZ",169779.995717345,0.562543270468146,74.7823352799658,70.5500288252516,9.2781112959143,902.681468184336
"AIJA",6570,0.369278952096014,63.7961218497704,44.9119984643117,7.12346714381197,502.852782279336
"ANTONIO RAIMONDI",13614.7408993576,0.316336893364822,71.4576969541614,47.7092586375444,6.0658571000556,301.19489326702
"ASUNCION",7419.32548179872,0.389049863688564,71.3636938226137,53.4877461298619,5.68700281371811,525.925445615162
"BOLOGNESI",28968.2847965739,0.453107932719228,70.9522722419373,52.6742509816948,7.55960851549146,682.760833119294
"CARHUAZ",46004.47751606,0.408914652227987,79.6588247625464,64.0563682999544,5.38179363206706,495.276325953118
"CARLOS FERMIN FITZCARRALD",19420.591006424,0.305968553232619,75.0394894135081,38.3491083545815,4.83874754204668,330.53227007836
"CASMA",50566.9464668094,0.557300920754884,78.6193546346084,61.5543017891314,7.87278539107506,965.543915755628
"CORONGO",7400.73233404711,0.388256123584986,73.0665077234665,46.8407161890619,6.25685271753119,504.676482063334
"HUARI",59144.2548179872,0.424135442845821,75.3144979493384,50.1071824108618,6.79737237420717,569.087056234132
"HUARMEY",31562.8950749465,0.574461230554633,79.2741861088212,64.3929950209321,8.72819654614267,956.662222373426
"HUAYLAS",51398.1905781585,0.405559625805934,79.6210035178132,44.3736897570623,5.60776406313878,558.623375027103
"MARISCAL LUZURIAGA",20564.7494646681,0.276132981732583,72.8021659240238,40.8527276377868,5.07427539486264,247.251851401683
"OCROS",9808.83940042827,0.465454484624551,79.0303151831916,61.220711135273,7.24808367187422,604.554690696738
"PALLASCA",26433.9528907923,0.327174294684724,66.7340368030451,41.3072213176422,5.89643421658593,394.536919208983
"POMABAMBA",27309.6573875803,0.341970981075689,75.8754885566523,44.8674821522648,5.26164332658915,386.531711039014
"RECUAY",17937.8715203426,0.426784731367209,69.3897955703194,67.2467870471579,7.31690869210289,541.724793887618
"SANTA",443566.160599572,0.615220775075721,78.7010920996672,70.5187737180216,9.57981271560028,1066.77561352218
"SIHUAS",26893.1905781585,0.314323545628663,74.2569261024711,43.4913718908749,5.57583267547247,309.200258927494
"YUNGAY",53884.3725910064,0.335807832904921,72.029275552493,47.4840542360068,5.01326400655057,398.303366955297
"ABANCAY",102553.618843683,0.521312966360625,72.2931901513284,74.0406710350489,8.74224582905599,771.417583989224
"ANDAHUAYLAS",158685.040685225,0.421882784759833,76.0517282607,69.8832394895455,6.23671342249716,500.543327286909
"ANTABAMBA",12196.8201284797,0.323102353598462,55.2318352315257,53.2058235696712,6.31287233727819,436.293467395509
