"prov_cdc","densidad_2020","altitud","ide","pob_ocup","pob2017","ocup_perc"
"AYMARAES",6.85699501788482,2929,0.730736868568955,10544.118007782,25514,0.413267931636827
"CHINCHEROS",42.1537297453936,2799,0.734699258948758,13799.235426052,47522,0.290375729684188
"COTABAMBAS",20.8391222973671,3267,0.655361238290182,15244.215616411,52978,0.287746151542357
"GRAU",11.7161488512407,3360,0.713466086301918,5378.513649134,22395,0.240165824922259
"AREQUIPA",126.144957353941,2429,0.818828118150026,529618.241295346,1137087,0.465767563339785
"CAMANA",16.676714035215,20,0.760651977930744,28774.13788939,61616,0.46699133162474
"CARAVELI",2.75278303548936,1811,0.723754268945559,20978.239846082,43243,0.485124525266101
"CASTILLA",5.09351390126228,625,0.78035267414317,17366.18685054,36561,0.474992118665791
"CAYLLOMA",7.50799246190652,3683,0.704624896512953,46552.8825696421,94776,0.491188513649469
"CONDESUYOS",2.32941480800184,2916,0.668586249902372,8814.063823278,17450,0.505103944027393
"ISLAY",15.3920582187991,73,0.775667897255883,26414.97579625,55953,0.472092216614837
"LA UNION",3.28017023428283,2696,0.765962727054128,6146.436040803,13747,0.447111081748963
"CANGALLO",19.1566724179907,2574,0.690274899591426,10784.149257844,32812,0.328664795131172
"HUAMANGA",101.008865888912,2797,0.769309247736132,118708.159200957,294960,0.402455109848647
"HUANCA SANCOS",3.56912026216404,3433,0.717187619083786,2887.609686547,8728,0.33084437288577
"HUANTA",27.223962857261,2685,0.702605811685876,35897.800677914,95904,0.374309733461733
"LA MAR",19.970789292813,2696,0.674297991113708,28611.8294340731,76453,0.374240767976052
"LUCANAS",3.40380996009559,3234,0.702518340265248,22510.651918827,54087,0.416193390626713
"PARINACOCHAS",4.3754356334781,3166,0.737773886915015,11386.921678665,29119,0.391047827146021
"PAUCAR DEL SARA SARA",4.35543559124812,2536,0.760653287369121,4235.57939923,10059,0.421073605649667
"SUCRE",5.87856454828521,3516,0.727263839329879,3517.501416691,9844,0.357324402345693
"VICTOR FAJARDO",9.88412478596932,3105,0.711960320411166,7731.581965427,20805,0.371621339362028
"VILCAS HUAMAN",18.6319707680224,3494,0.689339424428703,4682.684437086,18169,0.257729343226705
"ACOMAYO",28.7106367720571,3235,0.738806692344631,8660.921786067,24678,0.350957200181011
"ANTA",35.5345073875871,3363,0.714652077991473,21540.866757433,61353,0.351097204006862
"CALCA",17.3589701188586,2955,0.715023574009019,27372.375145196,70302,0.389354145617422
"CANAS",19.6681180362779,3925,0.639552357434633,8412.34784007,35486,0.237061033649045
"CANCHIS",28.1616394992086,3593,0.745852501639586,43767.0970040441,104527,0.418715709855292
"CHUMBIVILCAS",15.1859588760547,3676,0.653317999914828,22476.496326148,71265,0.315393198991763
"CUSCO",815.752025931928,3439,0.826478607650598,230096.015440188,478494,0.48087544554412
"ESPINAR",12.775343667684,3976,0.652421868403537,23597.935114485,62196,0.379412423861422
"LA CONVENCION",7.17830790018701,1086,0.687195977890566,73306.0332196961,167701,0.437123411426861
"PARURO",16.843712520535,3086,0.709394120790782,9120.96969322799,27496,0.331719875371981
"PAUCARTAMBO",8.53247254571478,2917,0.653697450342292,15982.492785395,47240,0.338325418827159
"QUISPICANCHI",13.803159109506,3179,0.696383589379661,30176.779046405,97407,0.309800928541121
"URUBAMBA",53.045302654523,2885,0.753916751618078,28824.085674217,67075,0.429729193801222
"ACOBAMBA",53.6329900529194,3449,0.701801059084214,12615.596016513,40324,0.312855768686465
"ANGARAES",29.5661628458982,3345,0.663669747148145,13761.995723879,52227,0.26350346992703
"CASTROVIRREYNA",5.06321807349258,3989,0.635420094840312,5977.573232105,14891,0.401421881143308
"CHURCAMPA",33.0912164934916,3295,0.684774234950884,10886.007981672,34549,0.315088945603983
"HUANCAVELICA",33.1870498818662,3746,0.732806004329952,39424.432215692,120699,0.326634290389249
"HUAYTARA",3.73250918572585,2732,0.615092182837059,6398.356481317,18390,0.347925855427787
"TAYACAJA",30.7483512710309,3282,0.701680569411373,30032.751123894,86172,0.348520994335677
"CHINCHA",84.3198821698161,140,0.759358057356675,101715.8627464,240884,0.422260767615948
"ICA",53.6311525769409,432,0.809042352687993,184861.056141835,407286,0.45388512284202
"NAZCA",15.4737795371871,618,0.712253801087288,32526.561587924,71930,0.452197436228611
"PALPA",13.058854065278,371,0.768181843928485,5775.417810407,14081,0.410156793580499
"PISCO",41.9261337073399,39,0.758556208061354,64806.688311973,159111,0.407304889743468
"MANU",0.67770378266057,535,0.624882344003126,9937.321093619,21383,0.464729976786185
"TAHUAMANU",0.56206385090636,238,0.704602021835406,5548.005087138,12310,0.450690908784565
"TAMBOPATA",4.04739761704995,204,0.733803121767846,58084.515662145,127511,0.455525528481033
"GENERAL SANCHEZ CERRO",2.79616523898615,2169,0.655337927576762,7305.421001877,16012,0.456246627646578
"ILO",61.9916122817056,33,0.792284939652132,34938.903241853,77158,0.452822821247998
"MARISCAL NIETO",11.0879447574721,1428,0.783993227272956,43849.35312909,88847,0.49353780239164
"AZANGARO",27.2929028311814,3878,0.597920718179038,35869.7216550219,115672,0.310098568841396
"CARABAYA",5.54865323159199,4311,0.575531890113107,27414.214805325,77055,0.355774638963403
"CHUCUITO",20.6338153856209,3878,0.586860357889686,29788.875960847,94023,0.316825414641598
"EL COLLAO",12.704021598033,3907,0.591194193532883,28362.183658274,68402,0.414639683902137
"HUANCANE",25.2768323324483,3866,0.629384991927991,23262.593549159,60379,0.385276230960417
"LAMPA",8.25798163933747,3881,0.582395347657442,18719.543151743,43207,0.433252555181869
"MELGAR",11.7724159861017,3937,0.654643255157929,25273.395244113,69984,0.361131047726809
"MOHO",27.0021219155019,3902,0.67690933005226,8805.959624278,20510,0.429349567249049
"PUNO",37.666266210763,3848,0.710146123342496,92729.870838968,227665,0.40730841736309
"SAN ANTONIO DE PUTINA",9.96826069876348,3878,0.58567592576518,14498.724011825,37163,0.390138686645992
"SAN ROMAN",143.388961332613,3877,0.714014676071376,131886.176408858,317510,0.415376449273591
"SANDIA",4.84530546490974,2206,0.555873162826842,25235.0943519911,56720,0.44490645895612
"YUNGUYO",137.86568347059,3850,0.718670284107939,14622.071627148,38646,0.378359251336438
"CANDARAVE",3.23559329529875,3427,0.691833353212712,3234.451949945,6450,0.501465418596124
"JORGE BASADRE",3.79196601742836,589,0.7995002972289,6854.179353207,11808,0.580469118665904
"TACNA",43.7866580049119,583,0.777705207636733,158444.589955315,324419,0.488394915079927
"TARATA",2.76280514617229,3077,0.741027395260494,3155.831453632,6379,0.494721971097664
