"prov","nomdep","prov_cdc","retor_llegaron","retor_salieron"
"1201","JUNIN","HUANCAYO",1952.24710201949,10670.6009709525
"1202","JUNIN","CONCEPCION",1673.31819681707,248.654756203294
"1203","JUNIN","CHANCHAMAYO",1703.42160684441,620.406501370715
"1204","JUNIN","JAUJA",3158.54485894204,289.155142955249
"1205","JUNIN","JUNIN",1900.82556618867,0
"1206","JUNIN","SATIPO",696.282763730735,1085.6514156505
"1207","JUNIN","TARMA",1681.87169421138,321.697312424658
"1208","JUNIN","YAULI",747.107696902473,329.249166160356
"1209","JUNIN","CHUPACA",759.800965559669,284.224854552653
"1301","LA LIBERTAD","TRUJILLO",189.198205279186,13658.9923880433
"1302","LA LIBERTAD","ASCOPE",2040.85271075997,138.767566652503
"1303","LA LIBERTAD","BOLIVAR",1182.19242875092,0
"1304","LA LIBERTAD","CHEPEN",397.608192810672,361.406094251899
"1305","LA LIBERTAD","JULCAN",1107.64319197414,0
"1306","LA LIBERTAD","OTUZCO",3056.88196883549,0
"1307","LA LIBERTAD","PACASMAYO",200.474559280672,772.535145611269
"1308","LA LIBERTAD","PATAZ",2156.03203247278,0
"1309","LA LIBERTAD","SANCHEZ CARRION",1221.9326425849,389.410907275043
"1310","LA LIBERTAD","SANTIAGO DE CHUCO",2359.27441631793,0
"1311","LA LIBERTAD","GRAN CHIMU",988.708144483506,0
"1312","LA LIBERTAD","VIRU",658.888876811368,0
"1401","LAMBAYEQUE","CHICLAYO",2784.11085368833,8058.8805081842
"1402","LAMBAYEQUE","FERREÑAFE",1113.70052725531,203.476098325802
"1403","LAMBAYEQUE","LAMBAYEQUE",3916.70156221662,847.855494504096
"1501","LIMA","LIMA",0,91536.3519600532
"1502","LIMA","BARRANCA",183.891473316588,1477.74959909893
"1503","LIMA","CAJATAMBO",564.273421676829,0
"1504","LIMA","CANTA",555.156088614953,0
"1505","LIMA","CAÑETE",891.893571905559,893.326038187253
"1506","LIMA","HUARAL",414.263779506437,1287.32546150207
"1507","LIMA","HUAROCHIRI",1837.36843150225,105.703511415049
"1508","LIMA","HUAURA",787.243036504253,910.916340747382
"1509","LIMA","OYON",854.297401968041,0
"1510","LIMA","YAUYOS",1512.22837439878,0
"1601","LORETO","MAYNAS",1007.44844113977,1876.05573371937
"1602","LORETO","ALTO AMAZONAS",539.386163002579,626.142476976616
"1603","LORETO","LORETO",513.932356730802,51.501970149111
"1604","LORETO","MARISCAL RAMON CASTILLA",865.319370095502,0
"1605","LORETO","REQUENA",930.076560838614,33.122982141329
"1606","LORETO","UCAYALI",916.386099705938,48.5378302065656
"1607","LORETO","DATEM DEL MARAÑON",364.776543111657,0
"1608","LORETO","PUTUMAYO",103.925972040393,0
"1701","MADRE DE DIOS","TAMBOPATA",88.6380975653883,1534.66980672698
"1702","MADRE DE DIOS","MANU",258.337080236175,0
"1703","MADRE DE DIOS","TAHUAMANU",205.671417313046,0
"1801","MOQUEGUA","MARISCAL NIETO",147.332012892817,731.623953278176
"1802","MOQUEGUA","GENERAL SANCHEZ CERRO",861.574396425975,0
"1803","MOQUEGUA","ILO",1.15399517863989,601.182268235134
"1901","PASCO","PASCO",1796.51037502137,655.193137723487
"1902","PASCO","DANIEL ALCIDES CARRION",1352.1568698684,0
"1903","PASCO","OXAPAMPA",1148.796475988,185.861332845408
"2001","PIURA","PIURA",1912.80704964453,5745.33232819522
"2002","PIURA","AYABACA",5236.26653636422,0
"2003","PIURA","HUANCABAMBA",3684.98378946038,0
"2004","PIURA","MORROPON",3390.74746186857,162.124854633352
"2005","PIURA","PAITA",685.461059081834,377.225669613341
"2006","PIURA","SULLANA",1110.06583057856,617.238011030713
"2007","PIURA","TALARA",1039.18158152618,400.028924642131
"2008","PIURA","SECHURA",236.932954656309,139.498953880277
"2101","PUNO","PUNO",2278.97533655143,1844.55039684265
"2102","PUNO","AZANGARO",4258.45458093623,70.384051639121
"2103","PUNO","CARABAYA",1190.71832690726,0
"2104","PUNO","CHUCUITO",2443.03253317438,40.2813155492768
"2105","PUNO","EL COLLAO",597.052243289887,158.644480980933
"2106","PUNO","HUANCANE",3784.61211073154,0
"2107","PUNO","LAMPA",1460.40927670896,0
"2108","PUNO","MELGAR",1530.98639030266,176.574325152906
"2109","PUNO","MOHO",1306.52634859341,0
"2110","PUNO","SAN ANTONIO DE PUTINA",818.486666745157,0
"2111","PUNO","SAN ROMAN",265.360425072256,9730.52280768054
"2112","PUNO","SANDIA",1664.48646766227,0
"2113","PUNO","YUNGUYO",1661.18667255878,0
"2201","SAN MARTIN","MOYOBAMBA",742.013071906171,1418.6020607159
"2202","SAN MARTIN","BELLAVISTA",953.888292687712,0
"2203","SAN MARTIN","EL DORADO",807.884258628241,0
"2204","SAN MARTIN","HUALLAGA",725.631643113913,0
"2205","SAN MARTIN","LAMAS",2091.5238818255,0
"2206","SAN MARTIN","MARISCAL CACERES",303.411255008075,470.432718865806
"2207","SAN MARTIN","PICOTA",1030.73410755466,0
"2208","SAN MARTIN","RIOJA",1582.34614320437,1280.31206064671
"2209","SAN MARTIN","SAN MARTIN",744.693668019027,3567.40116991499
"2210","SAN MARTIN","TOCACHE",790.119321649312,343.017393016024
"2301","TACNA","TACNA",81.6091345783789,4540.37958778068
"2302","TACNA","CANDARAVE",350.187034167466,0
"2303","TACNA","JORGE BASADRE",337.64259878255,0
"2304","TACNA","TARATA",381.25960608758,0
"2401","TUMBES","TUMBES",304.084065834759,636.139757206896
"2402","TUMBES","CONTRALMIRANTE VILLAR",266.71887135529,0
"2403","TUMBES","ZARUMILLA",139.393344125827,121.423104986083
"2501","UCAYALI","CORONEL PORTILLO",361.998439567513,1930.48543934175
"2502","UCAYALI","ATALAYA",360.281090985751,0
"2503","UCAYALI","PADRE ABAD",655.629714637995,0
"2504","UCAYALI","PURUS",18.1662591572385,0
